segment_id,segment confidence,segment utterance count,best_sum_method,best_sum_score,no_summary,direct_summary,recursive_summary,aspect_summary,memory_summary
4134_16,0.8,10,no_summary,0.9019607843137255,0.9019607843137255,0.7150997150997151,0.603399433427762,0.7150997150997151,0.7150997150997151
4134_17,0.8,12,direct_summary,0.9058823529411765,0.616,0.9058823529411765,0.8702702702702703,0.7780713342140027,0.7453580901856764
4134_18,0.9,8,prior_summary,0.7872340425531915,0.5262449528936743,0.5368421052631579,0.7872340425531915,0.5300400534045394,0.6563758389261745
4134_19,0.8,12,memory_summary,0.8490566037735849,0.51417004048583,0.7484276729559749,0.8378378378378378,0.8054711246200608,0.8490566037735849
4134_20,0.8,11,direct_summary,0.6988593155893537,0.48197203826342905,0.6988593155893537,0.43468950749464663,0.696551724137931,0.5759822090437361
4134_21,0.8,9,direct_summary,0.8363636363636364,0.609167671893848,0.8363636363636364,0.6174734356552539,0.46993865030674853,0.6655052264808363
4134_22,0.9,11,direct_summary,0.963302752293578,0.5944700460829493,0.963302752293578,0.9266666666666666,0.6942084942084942,0.7586837294332724
4395_0,0.95,6,memory_summary,0.7777777777777778,0.7777777777777778,0.7209302325581395,0.6129032258064515,0.7209302325581395,0.7777777777777778
4395_1,0.9,6,prior_summary,0.8115183246073299,0.7538461538461538,0.7551020408163266,0.8115183246073299,0.6875,0.5882352941176471
4395_2,0.95,6,memory_summary,0.6470588235294117,0.518796992481203,0.48201438848920863,0.5942028985507246,0.536231884057971,0.6470588235294117
4395_3,1.0,10,direct_summary,0.851024208566108,0.6703296703296704,0.851024208566108,0.8168498168498168,0.6319018404907976,0.6799999999999999
4395_4,1.0,12,prior_summary,0.828978622327791,0.6811594202898551,0.6298932384341638,0.828978622327791,0.7136038186157518,0.8287752675386445
4395_5,0.9,12,prior_summary,0.9655419956927495,0.6487025948103793,0.8999305072967339,0.9655419956927495,0.7081081081081082,0.6610169491525424
4395_6,0.8,11,memory_summary,0.9017857142857143,0.6018099547511313,0.8338368580060422,0.8029850746268656,0.8360655737704918,0.9017857142857143
4395_7,0.7,8,direct_summary,0.8281879194630872,0.6600265604249669,0.8281879194630872,0.7913950456323338,0.6906077348066298,0.7446808510638299
4395_8,0.6499999999999999,6,direct_summary,0.873015873015873,0.40740740740740744,0.873015873015873,0.746031746031746,0.746031746031746,0.6363636363636364
4395_9,0.6499999999999999,11,aspect_summary,0.6526315789473685,0.3155555555555555,0.6084142394822005,0.49425287356321845,0.6526315789473685,0.4668820678513732
4395_10,0.8,9,direct_summary,0.8871473354231975,0.4626865671641791,0.8871473354231975,0.6257796257796258,0.5930113052415211,0.5773745997865529
